Name,msx2,Pathology
NCIH1623_LUNG,18882,metastasis
NCIH1694_LUNG,3,metastasis
NCIH69_LUNG,11930,metastasis
NCIH1184_LUNG,21,metastasis
NCIH1048_LUNG,9915,metastasis
NCIH2405_LUNG,9081,metastasis
NCIH2087_LUNG,9,metastasis
NCIH1341_LUNG,1134,metastasis
NCIH2029_LUNG,2,metastasis
NCIH1355_LUNG,4634,metastasis
NCIH1573_LUNG,2565,metastasis
DV90_LUNG,4046,metastasis
NCIH226_LUNG,1,metastasis
NCIH1666_LUNG,6,metastasis
NCIH460_LUNG,2891,metastasis
NCIH1650_LUNG,2767,metastasis
NCIH2291_LUNG,343,metastasis
HCC33_LUNG,4,metastasis
COLO668_LUNG,11,metastasis
NCIH1915_LUNG,2,metastasis
NCIH1648_LUNG,2109,metastasis
NCIH1869_LUNG,1911,metastasis
NCIH838_LUNG,878,metastasis
NCIH1437_LUNG,1846,metastasis
SKMES1_LUNG,48,metastasis
HARA_LUNG,1351,metastasis
HCC4006_LUNG,1309,metastasis
LU99_LUNG,247,metastasis
CORL23_LUNG,15,metastasis
NCIH1944_LUNG,809,metastasis
NCIH1568_LUNG,585,metastasis
NCIH2030_LUNG,691,metastasis
NCIH1792_LUNG,661,metastasis
KNS62_LUNG,319,metastasis
CALU3_LUNG,600,metastasis
NCIH82_LUNG,94,metastasis
IALM_LUNG,8,metastasis
NCIH441_LUNG,559,metastasis
NCIH2110_LUNG,12,metastasis
NCIH2126_LUNG,406,metastasis
DMS273_LUNG,4,metastasis
HCC78_LUNG,382,metastasis
NCIH1339_LUNG,382,metastasis
NCIH292_LUNG,360,metastasis
NCIH2081_LUNG,0,metastasis
NCIH1930_LUNG,343,metastasis
NCIH1092_LUNG,6,metastasis
NCIH1105_LUNG,149,metastasis
NCIH1436_LUNG,17,metastasis
NCIH2122_LUNG,334,metastasis
NCIH1876_LUNG,215,metastasis
LCLC103H_LUNG,294,metastasis
NCIH650_LUNG,142,metastasis
NCIH1693_LUNG,184,metastasis
CORL279_LUNG,4,metastasis
NCIH841_LUNG,184,metastasis
NCIH1299_LUNG,170,metastasis
NCIH2023_LUNG,75,metastasis
NCIH209_LUNG,143,metastasis
DMS153_LUNG,7,metastasis
NCIH1618_LUNG,3,metastasis
NCIH526_LUNG,128,metastasis
NCIH1755_LUNG,20,metastasis
NCIH1155_LUNG,55,metastasis
NCIH647_LUNG,51,metastasis
NCIH524_LUNG,7,metastasis
NCIH661_LUNG,35,metastasis
NCIH196_LUNG,7,metastasis
NCIH889_LUNG,4,metastasis
NCIH211_LUNG,4,metastasis
NCIH2171_LUNG,3,metastasis
BEN_LUNG,16,metastasis
CALU1_LUNG,8,metastasis
NCIH1781_LUNG,4,metastasis
NCIH146_LUNG,6,metastasis
NCIH2106_LUNG,5,metastasis
NCIH2196_LUNG,6,metastasis
NCIH446_LUNG,1,metastasis
NCIH1385_LUNG,5,metastasis
SCLC21H_LUNG,3,metastasis
NCIH2009_LUNG,3,metastasis
A427_LUNG,828,NA
HCC2429_LUNG,525,NA
HCC2450_LUNG,0,NA
HCC461_LUNG,629,NA
HCC515_LUNG,324,NA
NCIH2077_LUNG,55,NA
NCIH2882_LUNG,127,NA
NCIH2887_LUNG,3632,NA
NCIH1819_LUNG,932,NA
NCIH3122_LUNG,228,NA
PC9_LUNG,7,NA
DMS53_LUNG,1,primary
LK2_LUNG,16904,primary
NCIH2227_LUNG,7891,primary
RERFLCAD2_LUNG,140,primary
HCC15_LUNG,8774,primary
NCIH2347_LUNG,653,primary
CORL47_LUNG,8299,primary
NCIH2085_LUNG,529,primary
HCC1588_LUNG,5730,primary
NCIH510_LUNG,95,primary
NCIH596_LUNG,5655,primary
NCIH2066_LUNG,12,primary
CALU6_LUNG,5200,primary
NCIH520_LUNG,5176,primary
RERFLCMS_LUNG,4985,primary
LU65_LUNG,2,primary
NCIH1651_LUNG,2028,primary
ABC1_LUNG,3656,primary
NCIH2444_LUNG,3639,primary
NCIH1734_LUNG,3,primary
NCIH2342_LUNG,5,primary
EBC1_LUNG,567,primary
NCIH322_LUNG,1690,primary
NCIH1563_LUNG,2505,primary
CHAGOK1_LUNG,2497,primary
CORL105_LUNG,407,primary
NCIH1435_LUNG,2380,primary
NCIH2228_LUNG,2279,primary
HCC2279_LUNG,374,primary
EKVX_LUNG,2074,primary
EPLC272H_LUNG,1961,primary
RERFLCSQ1_LUNG,1885,primary
HCC1171_LUNG,586,primary
RERFLCAI_LUNG,275,primary
NCIH2172_LUNG,1565,primary
DMS114_LUNG,1535,primary
LC1F_LUNG,1495,primary
NCIH1963_LUNG,14,primary
NCIH1793_LUNG,1448,primary
SKLU1_LUNG,57,primary
SW900_LUNG,847,primary
NCIH2073_LUNG,1039,primary
PC14_LUNG,2,primary
HCC2935_LUNG,1032,primary
NCIH810_LUNG,1,primary
HCC95_LUNG,1000,primary
SW1573_LUNG,976,primary
CAL12T_LUNG,285,primary
LUDLU1_LUNG,336,primary
LXF289_LUNG,862,primary
MORCPR_LUNG,29,primary
SBC5_LUNG,790,primary
HOP62_LUNG,700,primary
NCIH358_LUNG,2,primary
LOUNH91_LUNG,691,primary
SW1271_LUNG,119,primary
NCIH1703_LUNG,559,primary
NCIH727_LUNG,549,primary
HCC1438_LUNG,146,primary
HCC2108_LUNG,175,primary
HCC1359_LUNG,62,primary
NCIH1838_LUNG,471,primary
NCIH1975_LUNG,465,primary
A549_LUNG,415,primary
DMS454_LUNG,5,primary
CORL311_LUNG,1,primary
NCIH2286_LUNG,107,primary
NCIH23_LUNG,327,primary
CORL24_LUNG,3,primary
CORL88_LUNG,9,primary
CORL95_LUNG,12,primary
HCC827_LUNG,302,primary
HCC366_LUNG,31,primary
LCLC97TM1_LUNG,224,primary
RERFLCAD1_LUNG,214,primary
HCC1833_LUNG,8,primary
NCIH3255_LUNG,73,primary
HCC1195_LUNG,9,primary
NCIH854_LUNG,4,primary
NCIH1373_LUNG,157,primary
T3M10_LUNG,14,primary
NCIH1581_LUNG,143,primary
HOP92_LUNG,110,primary
NCIH1836_LUNG,2,primary
NCIH522_LUNG,60,primary
RERFLCKJ_LUNG,6,primary
SQ1_LUNG,22,primary
HCC44_LUNG,0,primary
DMS79_LUNG,9,primary
NCIH2170_LUNG,8,primary
NCIH1395_LUNG,7,primary
SHP77_LUNG,8,primary
HCC2814_LUNG,2427,NA
HCC364_LUNG,957,NA
HCC827GR5_LUNG,270,NA
SALE_LUNG,18,NA
