name,pathology,bmp5
DMS53_LUNG,primary,1
EBC1_LUNG,primary,0
HCC33_LUNG,metastasis,0
CORL105_LUNG,primary,2
COLO668_LUNG,metastasis,2756
A427_LUNG,NA,2
HCC2279_LUNG,primary,0
A549_LUNG,primary,1
HCC1588_LUNG,primary,0
HCC1171_LUNG,primary,2
ABC1_LUNG,primary,14
HCC15_LUNG,primary,8
CALU6_LUNG,primary,7460
CAL12T_LUNG,primary,63
BEN_LUNG,metastasis,0
CORL23_LUNG,metastasis,2
HARA_LUNG,metastasis,5
EPLC272H_LUNG,primary,21
HCC1438_LUNG,primary,1
HCC2108_LUNG,primary,1683
HCC1359_LUNG,primary,12
CHAGOK1_LUNG,primary,4373
DMS454_LUNG,primary,0
CORL47_LUNG,primary,0
DMS273_LUNG,metastasis,31
CORL311_LUNG,primary,2469
CORL24_LUNG,primary,44
CORL88_LUNG,primary,1
CORL95_LUNG,primary,2
CALU1_LUNG,metastasis,14
CALU3_LUNG,metastasis,1
HCC366_LUNG,primary,383
HCC1833_LUNG,primary,573
CORL279_LUNG,metastasis,6
HCC1195_LUNG,primary,100
DMS153_LUNG,metastasis,57
DV90_LUNG,metastasis,0
DMS114_LUNG,primary,8
HCC44_LUNG,primary,0
DMS79_LUNG,primary,21
HCC2814_LUNG,,4
HCC364_LUNG,,2
EKVX_LUNG,primary,143
HCC4006_LUNG,metastasis,6
HCC2935_LUNG,primary,34
HCC2429_LUNG,NA,8
HCC2450_LUNG,NA,473
HCC461_LUNG,NA,17
HCC515_LUNG,NA,2
HCC78_LUNG,metastasis,0
HCC827GR5_LUNG,,3
HCC827_LUNG,primary,6
HCC95_LUNG,primary,0
HOP62_LUNG,primary,37
HOP92_LUNG,primary,2951
IALM_LUNG,metastasis,70
KNS62_LUNG,metastasis,1
LC1F_LUNG,primary,0
LCLC103H_LUNG,metastasis,0
LCLC97TM1_LUNG,primary,79
LK2_LUNG,primary,17
LOUNH91_LUNG,primary,0
LU65_LUNG,primary,0
LU99_LUNG,metastasis,0
LUDLU1_LUNG,primary,0
LXF289_LUNG,primary,0
MORCPR_LUNG,primary,1166
NCIH1048_LUNG,metastasis,12
NCIH1092_LUNG,metastasis,2
NCIH1105_LUNG,metastasis,2
NCIH1155_LUNG,metastasis,7769
NCIH1184_LUNG,metastasis,3
NCIH1299_LUNG,metastasis,0
NCIH1339_LUNG,metastasis,27
NCIH1341_LUNG,metastasis,9845
NCIH1355_LUNG,metastasis,2686
NCIH1373_LUNG,primary,0
NCIH1385_LUNG,metastasis,71
NCIH1395_LUNG,primary,0
NCIH1435_LUNG,primary,2245
NCIH1436_LUNG,metastasis,5
NCIH1437_LUNG,metastasis,1
NCIH146_LUNG,metastasis,12
NCIH1563_LUNG,primary,2
NCIH1568_LUNG,metastasis,3352
NCIH1573_LUNG,metastasis,352
NCIH1581_LUNG,primary,2208
NCIH1618_LUNG,metastasis,4
NCIH1623_LUNG,metastasis,135
NCIH1648_LUNG,metastasis,9
NCIH1650_LUNG,metastasis,3517
NCIH1651_LUNG,primary,206
NCIH1666_LUNG,metastasis,17
NCIH1693_LUNG,metastasis,162
NCIH1694_LUNG,metastasis,1
NCIH1703_LUNG,primary,12
NCIH1734_LUNG,primary,10540
NCIH1755_LUNG,metastasis,1
NCIH1781_LUNG,metastasis,14
NCIH1792_LUNG,metastasis,6
NCIH1793_LUNG,primary,44
NCIH1819_LUNG,NA,299
NCIH1836_LUNG,primary,0
NCIH1838_LUNG,primary,121
NCIH1869_LUNG,metastasis,1562
NCIH1876_LUNG,metastasis,1129
NCIH1915_LUNG,metastasis,3
NCIH1930_LUNG,metastasis,6
NCIH1944_LUNG,metastasis,3448
NCIH1963_LUNG,primary,19
NCIH196_LUNG,metastasis,15
NCIH1975_LUNG,primary,91
NCIH2009_LUNG,metastasis,8
NCIH2023_LUNG,metastasis,2207
NCIH2029_LUNG,metastasis,0
NCIH2030_LUNG,metastasis,13569
NCIH2066_LUNG,primary,5
NCIH2073_LUNG,primary,2
NCIH2077_LUNG,NA,1081
NCIH2081_LUNG,metastasis,49
NCIH2085_LUNG,primary,125
NCIH2087_LUNG,metastasis,326
NCIH209_LUNG,metastasis,0
NCIH2106_LUNG,metastasis,1657
NCIH2110_LUNG,metastasis,2
NCIH211_LUNG,metastasis,269
NCIH2122_LUNG,metastasis,0
NCIH2126_LUNG,metastasis,84
NCIH2170_LUNG,primary,0
NCIH2171_LUNG,metastasis,0
NCIH2172_LUNG,primary,8473
NCIH2196_LUNG,metastasis,4
NCIH2227_LUNG,primary,98
NCIH2228_LUNG,primary,17
NCIH226_LUNG,metastasis,0
NCIH2286_LUNG,primary,3573
NCIH2291_LUNG,metastasis,9
NCIH2342_LUNG,primary,184
NCIH2347_LUNG,primary,4
NCIH23_LUNG,primary,7183
NCIH2405_LUNG,metastasis,14
NCIH2444_LUNG,primary,106
NCIH2882_LUNG,NA,4
NCIH2887_LUNG,NA,10
NCIH292_LUNG,metastasis,2
NCIH3122_LUNG,NA,2
NCIH322_LUNG,primary,376
NCIH3255_LUNG,primary,131
NCIH358_LUNG,primary,60
NCIH441_LUNG,metastasis,379
NCIH446_LUNG,metastasis,262
NCIH460_LUNG,metastasis,831
NCIH510_LUNG,primary,575
NCIH520_LUNG,primary,14
NCIH522_LUNG,primary,7
NCIH524_LUNG,metastasis,0
NCIH526_LUNG,metastasis,968
NCIH596_LUNG,primary,7
NCIH647_LUNG,metastasis,5
NCIH650_LUNG,metastasis,4
NCIH661_LUNG,metastasis,1631
NCIH69_LUNG,metastasis,26
NCIH727_LUNG,primary,3
NCIH810_LUNG,primary,3
NCIH82_LUNG,metastasis,13
NCIH838_LUNG,metastasis,24
NCIH841_LUNG,metastasis,272
NCIH854_LUNG,primary,0
NCIH889_LUNG,metastasis,16
PC14_LUNG,primary,29
PC9_LUNG,NA,0
RERFLCAD1_LUNG,primary,5
RERFLCAD2_LUNG,primary,39
RERFLCAI_LUNG,primary,29
RERFLCKJ_LUNG,primary,7126
RERFLCMS_LUNG,primary,94
RERFLCSQ1_LUNG,primary,4
SALE_LUNG,,0
SBC5_LUNG,primary,17
SCLC21H_LUNG,metastasis,279
SHP77_LUNG,primary,3126
SKLU1_LUNG,primary,26
SKMES1_LUNG,metastasis,3
SQ1_LUNG,primary,2
SW1271_LUNG,primary,39
SW1573_LUNG,primary,50
SW900_LUNG,primary,6
T3M10_LUNG,primary,1
